museum_id,museum_name,museum_location,state,category,price
anthropological_museum,Anthropological Museum,Port Blair,Andaman and Nicobar Islands,Ethnography,200
samudrika_naval_marine_museum,Samudrika Naval Marine Museum,Port Blair,Andaman and Nicobar Islands,Naval/Marine Biology,200
cellular_jail_national_memorial,Cellular Jail National Memorial,Port Blair,Andaman and Nicobar Islands,History/Freedom Struggle,200
bapu_museum_victoria_jubilee,Bapu Museum (Victoria Jubilee),Vijayawada,Andhra Pradesh,Archaeology,200
ins_kursura_submarine_museum,INS Kursura Submarine Museum,Visakhapatnam,Andhra Pradesh,Maritime/Military,200
visakha_museum,Visakha Museum,Visakhapatnam,Andhra Pradesh,Heritage,200
tu_142_aircraft_museum,TU 142 Aircraft Museum,Visakhapatnam,Andhra Pradesh,Aviation/Military,200
bhagwan_mahavir_government_museum,Bhagwan Mahavir Government Museum,Kadapa,Andhra Pradesh,Archaeology,200
amaravati_archaeological_museum,Amaravati Archaeological Museum,Amaravati,Andhra Pradesh,Archaeology,200
telugu_samskruthika_niketanam,Telugu Samskruthika Niketanam,Visakhapatnam,Andhra Pradesh,Cultural Heritage,200
jawaharlal_nehru_museum,Jawaharlal Nehru Museum,Itanagar,Arunachal Pradesh,Ethnography,200
district_museum,District Museum,Bomdila,Arunachal Pradesh,Ethnography,200
assam_state_museum,Assam State Museum,Guwahati,Assam,Multi-purpose,200
srimanta_sankaradeva_kalakshetra,Srimanta Sankaradeva Kalakshetra,Guwahati,Assam,Cultural,200
mayong_central_museum,Mayong Central Museum,Mayong,Assam,Black Magic/History,200
ahom_museum,Ahom Museum,Sivasagar,Assam,History/Royal,200
digboi_oil_museum,Digboi Oil Museum,Digboi,Assam,Industrial/Petroleum,200
regional_science_centre,Regional Science Centre,Guwahati,Assam,Science,200
bihar_museum,Bihar Museum,Patna,Bihar,History/Art,200
patna_museum,Patna Museum,Patna,Bihar,Archaeology,200
nalanda_archaeological_museum,Nalanda Archaeological Museum,Nalanda,Bihar,Archaeology,200
jalan_museum_qila_house,Jalan Museum (Qila House),Patna,Bihar,Private Collection/Art,200
srikrishna_science_centre,Srikrishna Science Centre,Patna,Bihar,Science,200
gandhi_sangrahalaya,Gandhi Sangrahalaya,Patna,Bihar,Biography,200
chandradhari_museum,Chandradhari Museum,Darbhanga,Bihar,Art/Numismatics,200
government_museum_and_art_gallery,Government Museum and Art Gallery,Chandigarh,Chandigarh,Art/Archaeology,200
international_dolls_museum,International Dolls Museum,Chandigarh,Chandigarh,Dolls,200
le_corbusier_centre,Le Corbusier Centre,Chandigarh,Chandigarh,Architecture,200
